Source,Package name,Package ID,ISBN,Unformatted ISBN,Book Title,Year,ISSN,Series Title,Volume,Imprint,Available Online,Status,Remarks,Shortcut URL
S&T,eBook - Materials Science 2016,EBCMS16,978-0-323-39080-4,9780323390804,Nanotechnology in Cancer,2017,,Micro and Nano Technologies,,William Andrew Publishing,28-Oct-2016,Active,Added in February 2016,http://www.sciencedirect.com/science/book/9780323390804
S&T,eBook - Materials Science 2016,EBCMS16,978-0-323-49782-4,9780323497824,Nanostructures,2017,,,,William Andrew Publishing,28-Oct-2016,Active,Added in May 2016,http://www.sciencedirect.com/science/book/9780323497824
S&T,eBook - Neuroscience 2016,EBCN16,978-0-12-802381-5,9780128023815,Conn's Translational Neuroscience,2016,,,,Academic Press,28-Oct-2016,Active,Added in May 2016,http://www.sciencedirect.com/science/book/9780128023815
S&T,eBook - Neuroscience 2016,EBCN16,978-0-12-803685-3,9780128036853,Spinal Muscular Atrophy,2017,,,,Academic Press,28-Oct-2016,Active,Original frontlist title,http://www.sciencedirect.com/science/book/9780128036853
S&T,eBook - Neuroscience 2016,EBCN16,978-0-12-805308-9,9780128053089,Decision Neuroscience,2017,,,,Academic Press,28-Oct-2016,Active,Added in February 2016,http://www.sciencedirect.com/science/book/9780128053089
S&T,"eBook - Pharmacology, Toxicology and Pharmaceutical Science 2016",EBCPTPS16,978-0-08-100154-7,9780081001547,Predictive Modeling of Pharmaceutical Unit Operations,2017,,,,Woodhead Publishing,28-Oct-2016,Active,Original frontlist title,http://www.sciencedirect.com/science/book/9780081001547
S&T,"eBook - Pharmacology, Toxicology and Pharmaceutical Science 2016",EBCPTPS16,978-0-12-803752-2,9780128037522,Pharmacology in Drug Discovery and Development (Second Edition),2017,,,,Academic Press,28-Oct-2016,Active,Original frontlist title,http://www.sciencedirect.com/science/book/9780128037522
S&T,eBook - Social Sciences 2016,EBCSS16,978-0-08-100920-8,9780081009208,Measuring and Enhancing the Student Experience,2017,,,,Chandos Publishing,28-Oct-2016,Active,Added in February 2016,http://www.sciencedirect.com/science/book/9780081009208
S&T,eBook - Social Sciences 2016,EBCSS16,978-0-08-100946-8,9780081009468,Evaluating Demand-Driven Acquisitions,2017,,,,Chandos Publishing,28-Oct-2016,Active,Added in September 2016,http://www.sciencedirect.com/science/book/9780081009468
S&T,eBook - Earth and Planetary Sciences 2016,EBCEPS16,978-0-08-100404-3,9780081004043,Physical Properties of Rocks,2015,0376-7361,Developments in Petroleum Science,65,Elsevier,28-Nov-2015,Inactive,Withdrawn in September 2015,http://www.sciencedirect.com/science/book/9780081004043
